"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CG31183",0.0440903169415624,4.24571212197297,0.605109902389907,0.554533361964884,0.709248709015686,-7.15349272027067
"HeT-A{}6276",0.0530962408619414,3.57019905920217,0.605077496608204,0.55455430555321,0.709248709015686,-7.0591133976452
"lncRNA:CR43334",0.112816048039481,3.64447297237944,0.606088051735638,0.554730378449475,0.709393263932767,-7.08017794551326
"Nf1",0.0363475090635206,6.42346810128787,0.604758601303044,0.554760427792042,0.709393263932767,-7.28118354737502
"CG14435",0.036753936346959,5.76100808808332,0.604636484044654,0.554839370892945,0.709434685158863,-7.26785171554033
"rasp",0.0687713353910221,1.49099005709099,0.60418032062098,0.55513431299715,0.709752259234611,-6.59938647386689
"CG30480",1.23107297272142,-3.68132371813852,0.608335993654402,0.555469867842066,0.710121700017874,-5.49562528449601
"CG6497",0.0421916254366787,6.30543827596057,0.603497747958932,0.555575803146526,0.710192152203025,-7.28094089169946
"cathD",0.0461528448213346,7.97631953718339,0.603432249294378,0.555618177868548,0.710192152203025,-7.25066039770305
"Glyat",-0.149072847791273,-1.14620789152283,-0.603149371636815,0.555801207192822,0.710366521101862,-5.91732477478194
"Tlk",0.049838822957806,6.49892888309749,0.602945775432652,0.555932959482606,0.710464586291425,-7.28280918492143
"PolG2",1.79203635730397,-3.42724979545719,0.608469565963839,0.555971171660862,0.710464586291425,-5.55530513652179
"ECSIT",0.0513805670741888,2.43744230389863,0.602554872443823,0.556185970058209,0.710679482157047,-6.84036901414189
"Hr51",-0.078084029307907,1.18208286712922,-0.601888017226322,0.556617733230746,0.711171550506084,-6.5334227395886
"Polr3F",0.0892548301303367,1.69950099478112,0.601668722388342,0.556759757742333,0.711293378153505,-6.67101663994886
"Vha36-1",-0.0352497015352052,6.93554136966818,-0.601335696924199,0.556975476354188,0.711455192288508,-7.28140511719083
"asRNA:CR45822",0.190582983537288,-0.225968128780349,0.60131680960295,0.556987712044904,0.711455192288508,-6.16673548994661
"Gr32a",0.08205417678026,1.81613568323174,0.601256988225097,0.55702646682326,0.711455192288508,-6.69318671167916
"CG12164",0.162406285192284,-0.882249660989078,0.601104660663894,0.557125157523666,0.711521612390905,-5.9962216597986
"lncRNA:CR44823",0.15524791522512,-0.163342123002298,0.600940935963649,0.557231242769355,0.711562857063435,-6.17723794229717
"CG30389",-0.0608888145408232,6.69311386343552,-0.600866448692748,0.557279510321938,0.711562857063435,-7.28408995203121
"CG34125",0.0441827825161131,3.980335204093,0.60083865097347,0.557297523747321,0.711562857063435,-7.1250590677071
"INE-1{}6134",0.164949965809948,-0.267030099045816,0.600584082300218,0.557462503455904,0.711644704330513,-6.12693356040905
"CG46435",1.38583467293287,1.34345532848193,0.606439248503016,0.55747543216515,0.711644704330513,-6.68179384831488
"Grx1t",0.0494786435249065,6.23530400270501,0.60046963890782,0.5575366799855,0.711644704330513,-7.2822114448879
"lncRNA:CR44322",0.162451150916173,-0.539914961386018,0.600414494308153,0.557572423878242,0.711644704330513,-6.08117496068762
"lncRNA:CR43314",-0.0851699375072846,3.29240497739973,-0.600379502106984,0.557595105932458,0.711644704330513,-7.02425286172873
"CG31659",0.0519754086463493,5.27727314278624,0.600107227196115,0.557771612365198,0.711810364465384,-7.2475322498273
"Tirant{}475",1.25223538326217,-1.21824519922443,0.605482855734481,0.557874488287341,0.71182520012067,-5.8691758939928
"CG42661",-2.05695579556663,-0.184077243741502,-0.60581100952013,0.557876652902972,0.71182520012067,-6.10952856788003
"Dso2",0.224431184905657,1.97200293686428,0.602848481080301,0.557962142417855,0.711874679819851,-6.72275711234745
