"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"G5{}1484",0.263921299293902,-0.339170836386414,1.42874925231294,0.174808189766755,0.300659984752177,-5.2881259272293,"G5{}1484"
"CG18404",0.104070756404942,5.95553222302072,1.42873268507268,0.174812869087207,0.300659984752177,-6.45642408897123,"CG18404"
"Ptth",-0.194450027049669,0.686892550731896,-1.42859017652017,0.174853124076979,0.300695284465488,-5.54970976253168,"Ptth"
"eve",0.360650248004753,-0.973319061150231,1.42783423345035,0.175066786743814,0.301028752112798,-5.11213664609445,"eve"
"pippin",-0.161588962457357,3.96315882601914,-1.42798380353866,0.175091052304714,0.301036511408376,-6.28733298492857,"pippin"
"beta3GalTII",0.159410223125751,1.51466809889242,1.42767828422914,0.17511089169489,0.301036659834194,-5.76659843905872,"beta3GalTII"
"mRpL3",-0.0786542418437758,3.7537727903147,-1.42751336133529,0.175157544543712,0.301049206899941,-6.25421013123448,"mRpL3"
"lncRNA:CR45660",-0.269098556233352,-0.319004296127786,-1.42751281889625,0.175157698004054,0.301049206899941,-5.28718730873362,"lncRNA:CR45660"
"kra",0.0677680305352305,8.61775903377595,1.42690721228068,0.175329098336239,0.301309817167826,-6.40804097696028,"kra"
"CG15635",0.137157947131541,7.69402702232118,1.42688531021364,0.175358040852945,0.301325577020958,-6.44380168435973,"CG15635"
"CG2202",-0.0812717624484808,4.85843352824083,-1.42660531265404,0.17541459453356,0.301388773471415,-6.3886313777094,"CG2202"
"CG17598",-0.0875762087245758,4.81355908151681,-1.42649398087771,0.175446131736829,0.301389741434559,-6.38405732934232,"CG17598"
"CG10920",0.0932576861879406,5.56956929654572,1.42641080685279,0.175469695689945,0.301389741434559,-6.44579204610653,"CG10920"
"RpL28",-0.112133297055249,9.42512052064352,-1.42639389744645,0.175474486597693,0.301389741434559,-6.37667049510074,"RpL28"
"CG32371",-0.101323224609144,7.70650749893405,-1.42592651976591,0.175606950582067,0.301560462061664,-6.44375366481439,"CG32371"
"dnc",0.0998936470362834,8.16486386398134,1.42590356670687,0.175613458057564,0.301560462061664,-6.42675860994825,"dnc"
"CG7031",0.352145171877162,-1.2769548781104,1.42551147686452,0.175724651161048,0.301717404652362,-5.15053681352523,"CG7031"
"lncRNA:CR46114",0.285972734575889,-0.419265640504196,1.4253572011318,0.175768418304857,0.301758555251325,-5.24788008511925,"lncRNA:CR46114"
"CG14646",-0.0750932250534648,3.49561211105297,-1.4251792779224,0.175818905291299,0.301811231880987,-6.21123117053612,"CG14646"
"CG31800",0.0927210292535472,3.88983276508093,1.42435493719327,0.17605297433206,0.30217899862829,-6.28206531737662,"CG31800"
"CG13223",-0.167764134388642,1.11032400727381,-1.42417376289636,0.176104452728994,0.302233317521381,-5.67000841420938,"CG13223"
"aph-1",-0.143708822095223,3.1175391728629,-1.4239001435452,0.176182221804237,0.302323107538854,-6.15135467340287,"aph-1"
"INE-1{}3200",0.412605044165866,-1.78599695822925,1.42385010759652,0.176196446270348,0.302323107538854,-4.992057496315,"INE-1{}3200"
"lncRNA:CR43937",-0.335680561034455,-0.0665561585212621,-1.42366699540389,0.176248510398657,0.302378396766355,-5.37189005488551,"lncRNA:CR43937"
"CG6700",0.0973947892058079,6.68488657533425,1.4233877513644,0.176327932084419,0.302480603890876,-6.47064651491309,"CG6700"
"LBR",0.103437978166674,3.2501735868837,1.42289326647756,0.176468644419148,0.302687916820238,-6.16768306546435,"LBR"
